ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK3,260,0.021,0.14815,0.03679,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,261,0.06872,0.24074,0.10692,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,262,0.05284,0.20833,0.0843,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,263,0.09957,0.23457,0.1398,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,264,0.05789,0.19981,0.08977,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,265,0.0263,0.22619,0.04712,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,266,0.15738,0.16129,0.15931,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,267,0.06327,0.4,0.10925,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,268,0.12116,0.25556,0.16438,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,269,0.14167,0.21951,0.1722,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,270,0.03167,0.16667,0.05322,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,271,0.05251,0.17544,0.08083,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,272,0.12579,0.21053,0.15748,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,273,0.06335,0.33333,0.10646,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,274,0.07369,0.2029,0.10811,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,275,0.0263,0.20833,0.0467,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,276,0.08443,0.35556,0.13646,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,277,0.08923,0.24638,0.13102,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,278,0.18409,0.17072,0.17715,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,279,0.05789,0.24444,0.09361,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,280,0.05773,0.12222,0.07842,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,281,0.09428,0.15,0.11578,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,282,0.07328,0.1188,0.09064,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,283,0.08435,0.19048,0.11693,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,284,0.08891,0.11431,0.10002,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,285,0.03697,0.25926,0.06471,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,286,0.07377,0.27451,0.11629,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,287,0.11561,0.19678,0.14565,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,288,0.13662,0.23234,0.17206,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,289,0.0368,0.17949,0.06108,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,290,0.02117,0.16667,0.03757,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,291,0.10512,0.13605,0.1186,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,292,0.15266,0.12185,0.13553,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,293,0.0473,0.19722,0.0763,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,294,0.11041,0.16685,0.13288,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,295,0.05805,0.19981,0.08997,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,296,0.03159,0.4,0.05856,3
